id_ligne,id_commande,id_produit,quantite
1,1,7,2
2,1,15,3
3,1,13,3
4,1,17,3
5,2,15,1
6,3,1,1
7,3,4,2
8,3,1,1
9,3,11,3
10,4,9,2
11,4,12,2
12,4,12,1
13,5,14,2
14,6,3,3
15,7,1,3
16,7,11,2
17,8,7,2
18,8,15,2
19,8,5,3
20,8,15,1
21,9,14,1
22,10,3,3
23,10,14,2
24,10,6,2
25,10,15,3
26,11,11,3
27,12,14,1
28,12,17,1
29,13,10,2
30,13,4,2
31,14,20,1
32,15,19,1
33,15,2,3
34,16,18,2
35,17,5,1
36,17,20,3
37,17,19,1
38,17,9,2
39,18,5,2
40,18,13,1
41,19,6,1
42,19,3,2
43,20,7,2
44,21,2,2
45,21,3,2
46,21,10,3
47,21,9,3
48,22,2,1
49,23,4,1
50,23,5,3
51,24,1,3
52,24,5,2
53,24,7,2
54,24,16,3
55,25,13,3
56,25,4,2
57,25,3,3
58,26,13,2
59,26,6,1
60,27,6,1
61,27,7,3
62,27,6,3
63,27,10,3
64,28,1,2
65,28,9,1
66,28,11,1
67,29,17,1
68,29,10,2
69,29,2,2
70,30,1,3
71,30,9,3
72,31,18,3
73,31,13,2
74,31,9,3
75,32,11,1
76,32,20,2
77,33,12,2
78,33,4,3
79,34,17,2
80,34,6,1
81,34,15,1
82,34,18,3
83,35,19,1
84,36,10,3
85,36,14,3
86,37,17,3
87,37,18,2
88,37,8,3
89,38,19,2
90,38,19,3
91,38,15,1
92,38,12,3
93,39,20,1
94,39,7,3
95,39,20,1
96,39,8,3
97,40,16,1
98,41,16,2
99,42,18,1
100,42,11,2
101,42,15,1
102,43,9,2
103,43,18,2
104,43,14,3
105,44,20,2
106,44,6,3
107,44,13,1
108,44,7,1
109,45,2,3
110,45,12,1
111,45,13,3
112,45,15,2
113,46,4,1
114,46,8,2
115,47,20,2
116,48,20,1
117,48,20,1
118,49,9,3
119,49,6,3
120,50,6,2
121,50,14,2
122,51,8,2
123,52,2,3
124,53,9,3
125,54,10,1
126,54,16,2
127,55,18,2
128,55,1,2
129,55,3,2
130,55,3,3
131,56,6,3
132,56,16,2
133,56,3,2
134,57,16,1
135,57,15,1
136,57,5,2
137,58,9,2
138,59,16,1
139,59,14,3
140,60,6,3
141,60,5,1
142,60,18,2
143,61,1,2
144,61,18,3
145,61,12,3
146,62,8,1
147,62,14,3
148,63,15,1
149,63,14,3
150,63,5,2
151,63,19,2
152,64,11,2
153,64,13,2
154,64,16,3
155,64,6,3
156,65,12,1
157,65,9,2
158,65,8,1
159,66,9,2
160,66,1,1
161,66,17,1
162,66,16,3
163,67,18,2
164,67,20,1
165,68,8,3
166,68,1,3
167,69,7,2
168,70,10,3
169,71,1,2
170,71,12,1
171,71,14,2
172,71,14,1
173,72,15,3
174,72,4,1
175,73,17,1
176,73,5,3
177,73,14,3
178,74,20,1
179,74,6,1
180,74,2,3
181,74,14,1
182,75,4,2
183,76,6,3
184,76,5,2
185,77,8,3
186,77,20,1
187,78,3,2
188,78,13,2
189,79,7,1
190,79,7,2
191,80,2,1
192,80,11,3
193,80,6,1
194,81,8,3
195,81,3,1
196,81,12,2
197,82,11,2
198,82,4,1
199,82,16,1
200,83,17,3
201,83,6,1
202,83,16,3
203,84,12,1
204,84,15,3
205,85,10,2
206,85,1,1
207,86,10,1
208,86,1,2
209,86,20,2
210,86,20,2
211,87,16,1
212,87,1,3
213,87,19,1
214,87,13,3
215,88,6,3
216,88,13,3
217,88,3,2
218,88,1,2
219,89,9,3
220,90,7,2
221,90,8,3
222,90,6,1
223,91,17,2
224,91,5,1
225,91,19,3
226,92,2,1
227,93,17,1
228,93,17,1
229,94,6,3
230,94,10,1
231,94,5,3
232,95,8,3
233,95,11,2
234,96,2,1
235,96,1,2
236,97,15,3
237,97,4,3
238,97,19,2
239,98,4,1
240,98,1,2
241,98,9,1
242,99,2,2
243,100,13,1
244,100,1,1
245,100,16,3
246,101,2,1
247,101,17,1
248,102,10,1
249,102,19,2
250,102,14,1
251,102,8,2
252,103,2,2
253,103,19,3
254,103,5,3
255,104,2,1
256,104,19,1
257,104,2,2
258,105,12,2
259,105,20,3
260,105,1,1
261,106,8,2
262,107,8,1
263,107,18,1
264,107,19,3
265,107,18,3
266,108,13,2
267,109,15,2
268,109,7,3
269,109,14,3
270,110,17,1
271,111,18,2
272,111,6,3
273,112,7,1
274,112,5,1
275,112,12,1
276,112,17,1
277,113,11,2
278,113,3,2
279,113,13,2
280,114,11,2
281,114,1,1
282,114,10,2
283,114,18,3
284,115,12,2
285,116,14,2
286,117,10,3
287,118,8,1
288,118,5,3
289,119,4,2
290,119,4,2
291,119,3,2
292,120,13,2
293,120,6,1
294,120,5,2
295,121,14,1
