id_paiement,id_commande,montant,methode,statut_paiement
1,1,76500,mobile_money,reussi
2,2,8000,mobile_money,reussi
3,3,74500,carte_bancaire,reussi
4,4,15600,carte_bancaire,reussi
5,5,11600,mobile_money,reussi
6,6,66000,mobile_money,reussi
7,7,50500,carte_bancaire,reussi
8,9,5800,mobile_money,reussi
9,10,120600,Mobile Money,echoue
10,11,19500,carte_bancaire,reussi
11,12,16800,carte_bancaire,reussi
12,13,35600,paiement_livraison,reussi
13,14,7500,carte_bancaire,reussi
14,15,84000,carte_bancaire,reussi
15,16,39000,paiement_livraison,reussi
16,17,90500,mobile_money,reussi
17,18,73500,carte_bancaire,reussi
18,19,53500,mobile_money,reussi
19,20,9000,carte_bancaire,reussi
20,21,92900,carte_bancaire,reussi
21,22,18000,mobile_money,reussi
22,23,120000,mobile_money,reussi
23,24,191500,mobile_money,reussi
24,25,106500,mobile_money,reussi
25,26,16500,carte_bancaire,reussi
26,27,59900,mobile_money,reussi
27,28,33000,mobile_money,reussi
28,29,52600,paiement_livraison,reussi
29,30,42000,mobile_money,echoue
30,31,70000,carte_bancaire,echoue
31,32,21500,mobile_money,reussi
32,34,98000,carte_bancaire,reussi
33,35,30000,carte_bancaire,reussi
34,36,25800,mobile_money,reussi
35,37,81000,carte_bancaire,reussi
36,38,170600,carte_bancaire,echoue
37,39,37500,mobile_money,reussi
38,40,25000,Mobile Money,reussi
39,41,50000,carte_bancaire,reussi
40,43,59400,mobile_money,reussi
41,44,51500,paiement_livraison,reussi
42,45,84700,Mobile Money,reussi
43,46,21000,carte_bancaire,reussi
44,47,15000,paiement_livraison,reussi
45,48,15000,mobile_money,reussi
46,49,33000,paiement_livraison,echoue
47,50,30600,mobile_money,reussi
48,51,6000,carte_bancaire,reussi
49,52,54000,mobile_money,echoue
50,53,4500,carte_bancaire,reussi
51,54,52800,mobile_money,reussi
52,55,174000,Mobile Money,reussi
53,56,122500,carte_bancaire,reussi
54,57,103000,paiement_livraison,reussi
55,58,3000,mobile_money,reussi
56,59,42400,carte_bancaire,reussi
57,60,102500,paiement_livraison,reussi
58,62,20400,carte_bancaire,echoue
59,63,155400,carte_bancaire,echoue
60,64,123500,mobile_money,reussi
61,65,10200,mobile_money,reussi
62,66,101500,carte_bancaire,reussi
63,67,46500,mobile_money,reussi
64,68,46500,mobile_money,reussi
65,69,9000,mobile_money,reussi
66,70,8400,carte_bancaire,reussi
67,71,46600,mobile_money,reussi
68,72,39000,carte_bancaire,reussi
69,73,133400,carte_bancaire,echoue
70,74,76800,Mobile Money,reussi
71,75,30000,mobile_money,echoue
72,76,98500,mobile_money,reussi
73,77,16500,carte_bancaire,reussi
74,78,51000,mobile_money,reussi
75,79,13500,carte_bancaire,reussi
76,80,47000,paiement_livraison,reussi
77,81,39400,paiement_livraison,reussi
78,82,53000,paiement_livraison,reussi
79,83,117500,carte_bancaire,reussi
80,84,28200,mobile_money,echoue
81,84,28200,carte_bancaire,reussi
82,85,18100,Mobile Money,reussi
83,86,57800,carte_bancaire,reussi
84,87,103000,carte_bancaire,reussi
85,88,108000,carte_bancaire,reussi
86,89,4500,carte_bancaire,reussi
87,90,27500,mobile_money,reussi
88,91,147000,mobile_money,echoue
89,92,18000,paiement_livraison,reussi
90,93,22000,paiement_livraison,reussi
91,94,136300,mobile_money,reussi
92,95,22000,paiement_livraison,reussi
93,96,43000,paiement_livraison,reussi
94,97,129000,mobile_money,reussi
95,98,41500,mobile_money,echoue
96,99,36000,mobile_money,reussi
97,100,91000,carte_bancaire,reussi
98,101,29000,mobile_money,reussi
99,102,74600,mobile_money,reussi
100,103,231000,mobile_money,reussi
101,104,84000,carte_bancaire,reussi
102,105,43400,paiement_livraison,reussi
103,106,6000,mobile_money,reussi
104,107,171000,mobile_money,reussi
105,108,7000,mobile_money,reussi
106,109,46900,carte_bancaire,reussi
107,111,67500,Mobile Money,reussi
108,112,54700,carte_bancaire,reussi
109,113,64000,mobile_money,reussi
110,114,89600,mobile_money,echoue
111,115,8400,mobile_money,reussi
112,116,11600,mobile_money,reussi
113,117,8400,Mobile Money,reussi
114,118,108000,Mobile Money,reussi
115,119,104000,paiement_livraison,reussi
116,120,86500,carte_bancaire,reussi
117,121,34300,mobile_money,reussi
118,122,176500,paiement_livraison,reussi
119,123,61500,carte_bancaire,reussi
120,124,13500,mobile_money,reussi
121,125,16500,carte_bancaire,reussi
122,126,62000,mobile_money,reussi
123,127,19100,mobile_money,reussi
124,128,74200,carte_bancaire,echoue
125,129,60700,carte_bancaire,reussi
126,130,73500,carte_bancaire,reussi
127,131,67500,paiement_livraison,reussi
128,132,23000,paiement_livraison,reussi
129,133,36000,carte_bancaire,reussi
130,134,9500,mobile_money,reussi
131,135,222400,carte_bancaire,reussi
132,136,12600,mobile_money,reussi
133,137,66000,Mobile Money,reussi
134,138,11600,carte_bancaire,reussi
135,139,63000,mobile_money,reussi
136,140,66000,Mobile Money,reussi
137,141,114300,carte_bancaire,reussi
138,142,39700,paiement_livraison,reussi
139,143,27700,carte_bancaire,reussi
140,144,68400,mobile_money,reussi
141,145,28000,paiement_livraison,reussi
142,146,134200,carte_bancaire,reussi
143,147,39900,paiement_livraison,reussi
144,148,16500,mobile_money,reussi
145,149,99000,paiement_livraison,reussi
146,150,26600,paiement_livraison,reussi
147,151,42500,carte_bancaire,echoue
148,152,88000,Mobile Money,reussi
149,153,80000,mobile_money,reussi
150,154,7000,paiement_livraison,reussi
151,155,12500,mobile_money,reussi
152,156,82500,mobile_money,reussi
153,157,65500,mobile_money,reussi
154,158,23000,mobile_money,reussi
155,159,54000,paiement_livraison,reussi
156,160,4500,paiement_livraison,reussi
157,161,38000,mobile_money,reussi
158,162,106500,carte_bancaire,reussi
159,162,106500,paiement_livraison,reussi
160,163,3000,carte_bancaire,reussi
161,164,72000,paiement_livraison,reussi
162,165,70500,Mobile Money,reussi
163,166,40500,mobile_money,reussi
164,167,181000,mobile_money,reussi
165,168,41500,paiement_livraison,reussi
166,169,22000,paiement_livraison,echoue
167,170,22500,mobile_money,reussi
168,171,108400,mobile_money,reussi
169,172,31200,carte_bancaire,reussi
170,173,13000,mobile_money,reussi
171,174,53700,mobile_money,echoue
172,175,105600,mobile_money,reussi
173,176,36000,mobile_money,echoue
174,178,107500,paiement_livraison,reussi
175,179,8000,paiement_livraison,reussi
176,180,27600,paiement_livraison,reussi
177,181,86000,mobile_money,echoue
178,182,11000,mobile_money,reussi
179,183,121000,paiement_livraison,reussi
180,184,90500,mobile_money,reussi
181,185,34100,mobile_money,reussi
182,186,1500,mobile_money,reussi
183,187,72500,mobile_money,reussi
184,188,24000,mobile_money,reussi
185,189,72000,carte_bancaire,reussi
186,190,155000,carte_bancaire,reussi
187,191,39500,paiement_livraison,reussi
188,192,78600,carte_bancaire,reussi
189,193,121500,mobile_money,reussi
190,194,189000,paiement_livraison,reussi
191,196,41500,paiement_livraison,reussi
192,197,67500,Mobile Money,reussi
193,198,42000,Mobile Money,reussi
194,199,18000,carte_bancaire,reussi
195,200,52500,mobile_money,reussi
196,201,54000,mobile_money,reussi
197,202,105000,paiement_livraison,reussi
198,203,106000,carte_bancaire,reussi
199,204,71600,mobile_money,reussi
200,205,51000,paiement_livraison,reussi
201,206,33500,mobile_money,reussi
202,208,9000,paiement_livraison,reussi
203,209,84300,carte_bancaire,reussi
204,211,53000,Mobile Money,reussi
205,212,58500,paiement_livraison,reussi
206,213,7000,paiement_livraison,reussi
207,214,31900,carte_bancaire,reussi
208,215,98400,carte_bancaire,reussi
209,216,147000,paiement_livraison,reussi
210,217,111000,mobile_money,echoue
211,218,55000,carte_bancaire,reussi
212,219,38000,Mobile Money,reussi
213,220,10500,carte_bancaire,reussi
214,221,8800,carte_bancaire,reussi
215,222,38800,paiement_livraison,reussi
216,223,87400,mobile_money,reussi
217,224,48000,mobile_money,reussi
218,225,81100,mobile_money,reussi
219,226,115000,Mobile Money,reussi
220,227,35000,carte_bancaire,reussi
221,228,74000,mobile_money,reussi
222,229,79500,mobile_money,reussi
223,230,12000,mobile_money,reussi
